"Molecule.ChEMBL.ID","Smiles","Standard.Type","Standard.Relation","Standard.Value","Standard.Units","pChEMBL.Value","Target.ChEMBL.ID","Target.Name","Document.ChEMBL.ID","Assay.Description","Document.Journal","Document.Year","Molecular.Weight","AlogP"
"CHEMBL136664","NS(=O)(=O)Oc1ccc2OC(CC(=O)c2c1)C3CCCCC3","IC50","'='",280,"nM",6.55,"CHEMBL3559","Steryl-sulfatase","CHEMBL1135790","Inhibitory activity against purified human steroid sulfatase (STS)","J. Med. Chem.",2002,325.39,2.18
"CHEMBL349091","NS(=O)(=O)Oc1ccc(cc1)C(=O)OC2CCCCCC2","IC50","'='",500,"nM",6.3,"CHEMBL3559","Steryl-sulfatase","CHEMBL1147419","Inhibition of estrone sulfatase","Bioorg. Med. Chem. Lett.",2004,313.38,2.15
"CHEMBL76374","CCCCOC(=O)c1ccc(OS(=O)(=O)N)cc1","IC50","'='",10500,"nM",4.98,"CHEMBL3559","Steryl-sulfatase","CHEMBL1147419","Inhibition of estrone sulfatase","Bioorg. Med. Chem. Lett.",2004,273.31,1.23
"CHEMBL420395","CCCCCCCOC(=O)c1ccc(OS(=O)(=O)N)cc1","IC50","'='",3400,"nM",5.47,"CHEMBL3559","Steryl-sulfatase","CHEMBL1147419","Inhibition of estrone sulfatase","Bioorg. Med. Chem. Lett.",2004,315.39,2.4
"CHEMBL1627410","C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)Cc5ccccc5Br","IC50","'='",840,"nM",6.08,"CHEMBL3559","Steryl-sulfatase","CHEMBL1133523","Inhibition of steroid sulfatase activity of JEG-3 cells","J. Med. Chem.",2000,441.41,5.98
"CHEMBL479928","NS(=O)(=O)Oc1ccc(cc1Br)C(c2ccc(OS(=O)(=O)N)c(Br)c2)n3cncn3","IC50","'='",476,"nM",6.32,"CHEMBL3559","Steryl-sulfatase","CHEMBL1155113","Inhibition of steroid sulfatase activity in human JEG3 cells","J. Med. Chem.",2008,583.24,1.61
"CHEMBL63397","NS(=O)(=O)Oc1cccc(c1)C(=O)c2cccc(O)c2","IC50","'='",6900,"nM",5.16,"CHEMBL3559","Steryl-sulfatase","CHEMBL1136026","Inhibition of human steroid sulfatase compared to EMATE","Bioorg. Med. Chem. Lett.",2002,293.3,1.21
"CHEMBL67175","NS(=O)(=O)Oc1ccc(cc1)C(=O)c2ccc(OS(=O)(=O)N)cc2","IC50","'='",190,"nM",6.72,"CHEMBL3559","Steryl-sulfatase","CHEMBL1155113","Inhibition of human recombinant steroid sulfatase","J. Med. Chem.",2008,372.38,0.08
"CHEMBL598009","NS(=O)(=O)Oc1ccc(cc1Cl)c2cccc(Cn3cncn3)c2","IC50","'='",160,"nM",6.8,"CHEMBL3559","Steryl-sulfatase","CHEMBL1157574","Inhibition of steroid sulfatase in human JEG3 cells by scintillation spectrometry","J. Med. Chem.",2010,364.81,2.23
"CHEMBL228541","OC(=O)c1cccc(\C=N\NC(=S)NC2CCCCC2)c1O","IC50","'='",150,"nM",6.82,"CHEMBL3559","Steryl-sulfatase","CHEMBL1145443","Inhibition of Estrone sulfatase in human placental microsome","J. Med. Chem.",2007,321.4,2.22
